@relation QueryResult

@attribute r1 numeric
@attribute r2 numeric
@attribute rating {nem,igen}

@data
0.991515,0.659977,nem
0.753599,0.753599,igen
0.008442,0.008442,igen
0.269119,0.269119,igen
0.968195,0.934059,nem
0.598347,0.940217,nem
0.745536,0.740291,nem
0.090652,0.090652,igen
0.529467,0.529467,igen
0.76174,0.76174,igen
0.537351,0.537351,igen
0.989933,0.34688,nem
0.018663,0.018663,igen
0.625956,0.625956,igen
0.522759,0.522759,igen
0.790369,0.790369,igen
0.762291,0.762291,igen
0.47262,0.60542,nem
0.706825,0.706825,igen
0.741457,0.741457,igen
0.778784,0.467659,nem
0.843069,0.918348,nem
0.111237,0.111237,igen
0.834584,0.834584,igen
0.578324,0.578324,igen
0.864835,0.843025,nem
0.847443,0.833031,nem
0.777084,0.777084,igen
0.44579,0.44579,igen
0.773248,0.773248,igen
0.52262,0.52262,igen
0.186081,0.186081,igen
0.863899,0.052087,nem
0.947821,0.401251,nem
0.04202,0.2947,nem
0.419914,0.667975,nem
0.817459,0.817459,igen
0.210282,0.430266,nem
0.290079,0.815702,nem
0.137092,0.031536,nem
0.594486,0.594486,igen
0.60475,0.874604,nem
0.512833,0.715987,nem
0.709188,0.091158,nem
0.580822,0.552213,nem
0.938601,0.938601,igen
0.413853,0.413853,igen
0.329297,0.329297,igen
0.384391,0.187101,nem
0.851917,0.570472,nem
0.051,0.051,igen
0.904004,0.904004,igen
0.518292,0.518292,igen
0.452251,0.452251,igen
0.946024,0.812993,nem
0.872165,0.872165,igen
0.613999,0.630452,nem
0.082447,0.044265,nem
0.920531,0.89815,nem
0.181357,0.181357,igen
0.952066,0.952066,igen
0.492635,0.492635,igen
0.786108,0.786108,igen
0.826671,0.005469,nem
0.502095,0.535858,nem
0.096626,0.096626,igen
0.082917,0.082917,igen
0.088072,0.088072,igen
0.035227,0.49677,nem
0.417368,0.419618,nem
0.683871,0.683871,igen
0.269285,0.269285,igen
0.99009,0.734872,nem
0.173289,0.508382,nem
0.187123,0.187123,igen
0.119313,0.119313,igen
0.321375,0.321375,igen
0.059287,0.059287,igen
0.733312,0.733312,igen
0.951827,0.951827,igen
0.141735,0.141735,igen
0.777578,0.872357,nem
0.039884,0.958935,nem
0.824424,0.53252,nem
0.745043,0.651094,nem
0.537988,0.247137,nem
0.186953,0.634615,nem
0.330054,0.330054,igen
0.275024,0.275024,igen
0.669842,0.669842,igen
0.826825,0.692393,nem
0.08946,0.08946,igen
0.510696,0.961678,nem
0.079549,0.245567,nem
0.134968,0.587931,nem
0.43269,0.43269,igen
0.254281,0.909306,nem
0.491977,0.491977,igen
